sample_id,pubchem_cid,abundancia,physiological_state
test_ayelo_001,240,1200,control
test_ayelo_001,6654,3400,control
test_ayelo_001,8175,890,control
test_ayelo_001,14896,2100,control
test_ayelo_001,18756,560,control
test_ayelo_001,31253,4300,control
test_ayelo_001,31289,720,control
test_ayelo_001,440917,1980,control
test_ayelo_001,5281515,3100,control
test_ayelo_001,5281516,610,control
test_ayelo_001,5281520,2500,control
test_ayelo_001,5363388,940,control
test_ayelo_001,6427110,1750,control
test_ayelo_002,240,1350,control
test_ayelo_002,6654,3600,control
test_ayelo_002,8175,910,control
test_ayelo_002,14896,1950,control
test_ayelo_002,18756,600,control
test_ayelo_002,31253,4100,control
test_ayelo_002,31289,700,control
test_ayelo_002,440917,2050,control
test_ayelo_002,5281515,2950,control
test_ayelo_002,5281516,590,control
test_ayelo_002,5281520,2600,control
test_ayelo_002,5363388,980,control
test_ayelo_002,6427110,1800,control
test_ayelo_003,240,2600,herbivory_exposed
test_ayelo_003,6654,7200,herbivory_exposed
test_ayelo_003,8175,1700,herbivory_exposed
test_ayelo_003,14896,4300,herbivory_exposed
test_ayelo_003,18756,1400,herbivory_exposed
test_ayelo_003,31253,3900,herbivory_exposed
test_ayelo_003,31289,1500,herbivory_exposed
test_ayelo_003,440917,3800,herbivory_exposed
test_ayelo_003,5281515,2800,herbivory_exposed
test_ayelo_003,5281516,1300,herbivory_exposed
test_ayelo_003,5281520,2400,herbivory_exposed
test_ayelo_003,5363388,2100,herbivory_exposed
test_ayelo_003,6427110,3600,herbivory_exposed
test_ayelo_004,240,2450,herbivory_exposed
test_ayelo_004,6654,6900,herbivory_exposed
test_ayelo_004,8175,1650,herbivory_exposed
test_ayelo_004,14896,4500,herbivory_exposed
test_ayelo_004,18756,1350,herbivory_exposed
test_ayelo_004,31253,4200,herbivory_exposed
test_ayelo_004,31289,1450,herbivory_exposed
test_ayelo_004,440917,3650,herbivory_exposed
test_ayelo_004,5281515,3050,herbivory_exposed
test_ayelo_004,5281516,1250,herbivory_exposed
test_ayelo_004,5281520,2550,herbivory_exposed
test_ayelo_004,5363388,2050,herbivory_exposed
test_ayelo_004,6427110,3550,herbivory_exposed
