sample_id,compuesto_id,abundancia,unidad
ayelo2026_rc_ctrl_r01,ayelo2026_cmp001,41.12,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp002,36.71,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp003,17.0,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp004,18.55,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp005,7.98,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp006,6.12,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp007,3.11,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp008,4.87,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp009,3.62,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp010,3.75,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp011,27.3,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp012,6.54,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r01,ayelo2026_cmp013,5.66,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp001,38.68,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp002,17.47,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp003,44.85,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp004,30.59,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp005,21.1,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp006,19.99,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp007,26.25,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp008,5.46,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp009,101.84,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp010,3.57,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp011,54.8,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp012,13.19,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r02,ayelo2026_cmp013,16.95,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp001,90.24,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp002,27.26,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp003,11.18,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp004,11.58,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp005,8.51,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp006,6.08,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp007,3.61,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp008,4.84,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp009,45.4,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp010,3.46,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp011,9.64,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp012,2.67,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r03,ayelo2026_cmp013,2.21,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp001,98.27,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp002,40.12,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp003,21.92,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp004,88.93,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp005,24.85,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp006,27.1,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp007,52.54,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp008,21.14,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp009,25.37,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp010,28.2,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp011,99.75,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp012,27.43,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r04,ayelo2026_cmp013,27.6,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp001,86.72,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp002,42.76,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp003,22.54,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp004,90.43,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp005,22.46,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp006,26.69,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp007,46.99,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp008,19.91,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp009,22.03,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp010,23.27,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp011,106.67,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp012,27.44,unidad_relativa_reportada_en_paper
ayelo2026_rc_ctrl_r05,ayelo2026_cmp013,24.12,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp001,384.72,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp002,24.91,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp003,48.29,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp004,34.65,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp005,21.22,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp006,16.93,unidad_relativa_reportada_en_paper
ayelo2026_rc_au8_r01,ayelo2026_cmp007,4.72,unidad_relativa_reportada_en_paper
