sample_id,compuesto_id,abundancia,unidad
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp001,0.026746892,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp001,0.030281864,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp001,0.020122753,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp001,0.011847095,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp001,0.049079181,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp001,0.000634862,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp001,0.00072,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp001,0.000347176,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp001,0.000413811,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp001,0.000698875,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp001,0.000322611,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp001,0.000448716,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp001,0.000334392,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp001,0.000583128,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp001,0.000416679,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp002,0.003710478,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp002,0.003702918,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp002,0.001544765,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp002,0.003226345,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp002,0.003898247,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp002,0.020281367,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp002,0.022501353,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp002,0.009462147,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp002,0.012381488,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp002,0.015200346,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp002,0.016007302,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp002,0.013559564,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp002,0.015568416,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp002,0.01750781,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp002,0.030977451,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp003,0.004919782,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp003,0.005067841,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp003,0.005790648,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp003,0.00312337,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp003,0.004910522,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp003,0.003932005,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp003,0.003455563,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp003,0.005055878,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp003,0.002250182,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp003,0.003809534,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp003,0.002313758,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp003,0.002023564,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp003,0.002097574,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp003,0.001474647,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp003,0.002415368,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp004,0.002212922,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp004,0.001754043,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp004,0.003517311,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp004,0.000796783,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp004,0.002520016,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp004,0.004269332,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp004,0.005397323,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp004,0.005483289,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp004,0.004598489,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp004,0.007238361,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp004,0.005224928,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp004,0.005461038,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp004,0.004389942,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp004,0.004129589,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp004,0.008161015,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp005,0.024236136,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp005,0.043682455,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp005,0.011971868,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp005,0.030448233,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp005,0.043347799,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp005,0.008038139,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp005,0.003396873,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp005,0.010408666,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp005,0.015039292,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp005,0.001611795,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp005,0.012087895,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp005,0.00898706,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp005,0.009730431,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp005,0.009044437,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp005,0.007988558,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp006,0.018748407,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp006,0.035300633,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp006,0.037308052,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp006,0.027310836,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp006,0.028841507,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp006,0.038778291,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp006,0.04261559,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp006,0.048851763,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp006,0.050710622,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp006,0.038772481,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp006,0.018835601,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp006,0.033938414,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp006,0.025764172,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp006,0.028610917,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp006,0.028756613,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp007,0.009995968,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp007,0.005063562,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp007,0.001291025,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp007,0.007832256,relative_to_internal_standard
