sample_id,compuesto_id,abundancia,unidad
laupheimer2024_wt_control_1dai_r01,laupheimer2024_cmp001,0.21,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r02,laupheimer2024_cmp001,0.28,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r03,laupheimer2024_cmp001,1.53,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r04,laupheimer2024_cmp001,1.1,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r05,laupheimer2024_cmp001,0.15,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r06,laupheimer2024_cmp001,0.3,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r07,laupheimer2024_cmp001,0.28,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r08,laupheimer2024_cmp001,0.12,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r09,laupheimer2024_cmp001,1.35,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp001,0.09,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp001,0.27,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp001,0.46,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp001,2.64,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp001,0.16,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp001,0.48,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp001,0.36,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp001,0.42,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp001,0.8,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r19,laupheimer2024_cmp001,0.11,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r20,laupheimer2024_cmp001,0.17,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r21,laupheimer2024_cmp001,0.46,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r22,laupheimer2024_cmp001,0.11,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r23,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r24,laupheimer2024_cmp001,0.19,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r25,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r26,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r27,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r28,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r29,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r30,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r31,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r32,laupheimer2024_cmp001,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r01,laupheimer2024_cmp002,4.41,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r02,laupheimer2024_cmp002,3.44,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r03,laupheimer2024_cmp002,13.75,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r04,laupheimer2024_cmp002,11.75,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r05,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r06,laupheimer2024_cmp002,4.34,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r07,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r08,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r09,laupheimer2024_cmp002,11.28,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp002,2.13,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp002,32.93,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp002,0.45,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp002,4.28,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp002,2.62,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp002,8.6,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r19,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r20,laupheimer2024_cmp002,0.32,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r21,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r22,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r23,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r24,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r25,laupheimer2024_cmp002,1.06,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r26,laupheimer2024_cmp002,0.92,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r27,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r28,laupheimer2024_cmp002,0.97,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r29,laupheimer2024_cmp002,0.03,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r30,laupheimer2024_cmp002,0.64,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r31,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r32,laupheimer2024_cmp002,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r01,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r02,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r03,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r04,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r05,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r06,laupheimer2024_cmp003,1.71,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r07,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r08,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r09,laupheimer2024_cmp003,3.41,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp003,0.23,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r19,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r20,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r21,laupheimer2024_cmp003,8.08,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r22,laupheimer2024_cmp003,3.78,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r23,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r24,laupheimer2024_cmp003,0.21,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r25,laupheimer2024_cmp003,8.15,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r26,laupheimer2024_cmp003,8.76,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r27,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r28,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r29,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r30,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r31,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r32,laupheimer2024_cmp003,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r01,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r02,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r03,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r04,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r05,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r06,laupheimer2024_cmp004,0.01,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r07,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r08,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r09,laupheimer2024_cmp004,0.2,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp004,0.03,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r19,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r20,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r21,laupheimer2024_cmp004,0.61,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r22,laupheimer2024_cmp004,0.33,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r23,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r24,laupheimer2024_cmp004,0.11,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r25,laupheimer2024_cmp004,0.82,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r26,laupheimer2024_cmp004,0.73,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r27,laupheimer2024_cmp004,0.3,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r28,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r29,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r30,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r31,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r32,laupheimer2024_cmp004,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r01,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r02,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r03,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_control_1dai_r04,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r05,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r06,laupheimer2024_cmp005,1.15,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r07,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_1dai_r08,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r09,laupheimer2024_cmp005,2.28,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp005,1.18,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp005,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp005,,concentracion_ng_per_gfw
