sample_id,compuesto_id,abundancia,unidad
moreira2024_xanthomonas_163_id01,moreira2024_cmp001,17.233,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp002,20.319,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp003,10.367,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp004,8.905,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp005,2.498,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp006,4.169,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp007,11.338,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp008,4.008,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp009,7.247,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp010,8.822,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp011,3.289,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp012,7.487,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp013,32.709,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp014,27.735,ng_per_hour
moreira2024_xanthomonas_163_id01,moreira2024_cmp015,9.376,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp001,8.169,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp002,32.238,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp003,12.807,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp004,19.342,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp005,3.272,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp006,4.339,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp007,49.083,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp008,2.396,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp009,10.055,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp010,13.232,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp011,4.386,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp012,9.819,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp013,44.724,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp014,34.592,ng_per_hour
moreira2024_mamestra_163_id02,moreira2024_cmp015,7.466,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp001,6.141,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp002,21.702,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp003,7.588,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp004,15.957,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp005,4.055,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp006,3.611,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp007,42.15,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp008,2.061,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp009,9.388,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp010,13.131,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp011,3.871,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp012,9.821,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp013,47.21,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp014,33.259,ng_per_hour
moreira2024_xanthomonas_163_id03,moreira2024_cmp015,6.653,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp001,7.755,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp002,18.25,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp003,9.621,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp004,11.044,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp005,2.797,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp006,4.821,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp007,22.698,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp008,3.366,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp009,10.187,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp010,12.477,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp011,3.655,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp012,9.515,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp013,41.477,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp014,32.561,ng_per_hour
moreira2024_mamestra_163_id04,moreira2024_cmp015,8.873,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp001,5.36,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp002,16.484,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp003,6.267,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp004,7.044,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp005,1.491,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp006,2.591,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp007,43.016,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp008,1.36,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp009,6.799,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp010,7.887,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp011,2.537,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp012,6.177,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp013,29.657,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp014,16.551,ng_per_hour
moreira2024_brevicoryne_163_id05,moreira2024_cmp015,3.882,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp001,24.844,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp002,22.945,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp003,8.13,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp004,4.584,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp005,2.391,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp006,3.755,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp007,12.197,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp008,1.054,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp009,6.423,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp010,7.521,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp011,3.071,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp012,11.115,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp013,32.516,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp014,27.265,ng_per_hour
moreira2024_sclerotinia_163_id06,moreira2024_cmp015,4.056,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp001,11.958,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp002,22.649,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp003,11.495,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp004,13.066,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp005,2.836,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp006,8.448,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp007,13.423,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp008,3.837,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp009,7.096,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp010,9.455,ng_per_hour
moreira2024_xanthomonas_163_id07,moreira2024_cmp011,3.093,ng_per_hour
