sample_id,pubchem_cid,abundancia
muestra_prueba_predictor_01,6654,41.12
muestra_prueba_predictor_01,240,36.71
muestra_prueba_predictor_01,14896,17.0
muestra_prueba_predictor_01,31253,18.55
muestra_prueba_predictor_01,5363388,7.98
muestra_prueba_predictor_01,440917,6.12
muestra_prueba_predictor_01,18756,3.11
muestra_prueba_predictor_01,31289,4.87
muestra_prueba_predictor_01,6427110,3.62
muestra_prueba_predictor_01,8175,3.75
muestra_prueba_predictor_01,5281515,27.3
muestra_prueba_predictor_01,5281520,6.54
muestra_prueba_predictor_01,5281516,5.66
